"country","date","confirmed"
"Belarus",2020-01-22,0
"Belarus",2020-01-23,0
"Belarus",2020-01-24,0
"Belarus",2020-01-25,0
"Belarus",2020-01-26,0
"Belarus",2020-01-27,0
"Belarus",2020-01-28,0
"Belarus",2020-01-29,0
"Belarus",2020-01-30,0
"Belarus",2020-01-31,0
"Belarus",2020-02-01,0
"Belarus",2020-02-02,0
"Belarus",2020-02-03,0
"Belarus",2020-02-04,0
"Belarus",2020-02-05,0
"Belarus",2020-02-06,0
"Belarus",2020-02-07,0
"Belarus",2020-02-08,0
"Belarus",2020-02-09,0
"Belarus",2020-02-10,0
"Belarus",2020-02-11,0
"Belarus",2020-02-12,0
"Belarus",2020-02-13,0
"Belarus",2020-02-14,0
"Belarus",2020-02-15,0
"Belarus",2020-02-16,0
"Belarus",2020-02-17,0
"Belarus",2020-02-18,0
"Belarus",2020-02-19,0
"Belarus",2020-02-20,0
"Belarus",2020-02-21,0
"Belarus",2020-02-22,0
"Belarus",2020-02-23,0
"Belarus",2020-02-24,0
"Belarus",2020-02-25,0
"Belarus",2020-02-26,0
"Belarus",2020-02-27,0
"Belarus",2020-02-28,1
"Belarus",2020-02-29,1
"Belarus",2020-03-01,1
"Belarus",2020-03-02,1
"Belarus",2020-03-03,1
"Belarus",2020-03-04,6
"Belarus",2020-03-05,6
"Belarus",2020-03-06,6
"Belarus",2020-03-07,6
"Belarus",2020-03-08,6
"Belarus",2020-03-09,6
"Belarus",2020-03-10,9
"Belarus",2020-03-11,9
"Belarus",2020-03-12,12
"Belarus",2020-03-13,27
"Belarus",2020-03-14,27
"Belarus",2020-03-15,27
"Belarus",2020-03-16,36
"Belarus",2020-03-17,36
"Belarus",2020-03-18,51
"Belarus",2020-03-19,51
"Belarus",2020-03-20,69
"Belarus",2020-03-21,76
"Belarus",2020-03-22,76
"Belarus",2020-03-23,81
"Belarus",2020-03-24,81
"Belarus",2020-03-25,86
"Belarus",2020-03-26,86
"Belarus",2020-03-27,94
"Belarus",2020-03-28,94
"Belarus",2020-03-29,94
"Belarus",2020-03-30,152
"Belarus",2020-03-31,152
"Belarus",2020-04-01,163
"Belarus",2020-04-02,304
"Belarus",2020-04-03,351
"Belarus",2020-04-04,440
"Belarus",2020-04-05,562
"Belarus",2020-04-06,700
"Belarus",2020-04-07,861
"Belarus",2020-04-08,1066
"Belarus",2020-04-09,1486
"Belarus",2020-04-10,1981
"Belarus",2020-04-11,2226
"Belarus",2020-04-12,2578
"Belarus",2020-04-13,2919
"Belarus",2020-04-14,3281
"Belarus",2020-04-15,3728
"Belarus",2020-04-16,4204
"Belarus",2020-04-17,4779
"Belarus",2020-04-18,4779
"Belarus",2020-04-19,4779
"Belarus",2020-04-20,6264
"Belarus",2020-04-21,6723
"Belarus",2020-04-22,7281
"Belarus",2020-04-23,8022
"Belarus",2020-04-24,8773
"Belarus",2020-04-25,9590
"Belarus",2020-04-26,10463
"Belarus",2020-04-27,11289
"Belarus",2020-04-28,12208
"Belarus",2020-04-29,13181
